timestamp,total_carparks,total_lots,lots_available,avg_lots_available
2024-01-04T12:00:00+08:00,2336,730021,480994,205.90496575342465
2024-01-04T13:00:00+08:00,2336,730359,490070,209.7902397260274
2024-01-04T14:00:00+08:00,2336,730388,488488,209.11301369863014
2024-01-04T15:00:00+08:00,2336,730376,485184,207.6986301369863
2024-01-04T16:00:00+08:00,2336,730392,479034,205.06592465753425
2024-01-04T17:00:00+08:00,2336,729908,465826,199.41181506849315
2024-01-04T18:00:00+08:00,2336,730350,429416,183.82534246575344
2024-01-04T19:00:00+08:00,2336,729882,398906,170.76455479452054
2024-01-04T20:00:00+08:00,2336,730317,380903,163.05779109589042
2024-01-04T21:00:00+08:00,2336,729882,366610,156.93921232876713
2024-01-04T22:00:00+08:00,2336,730350,353295,151.2392979452055
2024-01-05T00:00:00+08:00,2336,730350,337848,144.62671232876713
2024-01-05T01:00:00+08:00,2336,729855,333555,142.78895547945206
2024-01-05T02:00:00+08:00,2336,730497,332818,142.47345890410958
2024-01-05T03:00:00+08:00,2336,729870,331730,142.00770547945206
2024-01-05T04:00:00+08:00,2336,730340,332859,142.4910102739726
2024-01-05T05:00:00+08:00,2336,729876,338459,144.8882705479452
2024-01-05T06:00:00+08:00,2336,730350,381717,163.40625
2024-01-05T07:00:00+08:00,2336,730350,425068,181.96404109589042
2024-01-05T08:00:00+08:00,2336,730350,461914,197.73715753424656
2024-01-05T09:00:00+08:00,2336,730350,474769,203.24015410958904
2024-01-05T10:00:00+08:00,2336,730350,480758,205.8039383561644
2024-01-05T11:00:00+08:00,2336,729882,480573,205.72474315068493
2024-01-05T12:00:00+08:00,2336,729882,478307,204.75470890410958
2024-01-05T13:00:00+08:00,2336,730350,487625,208.7435787671233
2024-01-05T14:00:00+08:00,2336,729849,484582,207.44092465753425
2024-01-05T15:00:00+08:00,2336,730344,481505,206.12371575342465
2024-01-05T16:00:00+08:00,2336,730317,476494,203.97859589041096
2024-01-05T17:00:00+08:00,2336,730317,463108,198.24828767123287
2024-01-05T18:00:00+08:00,2336,729882,437466,187.27140410958904
2024-01-05T19:00:00+08:00,2336,730350,414152,177.29109589041096
2024-01-05T20:00:00+08:00,2336,729882,397439,170.13655821917808
2024-01-05T21:00:00+08:00,2336,730350,385584,165.06164383561645
2024-01-05T22:00:00+08:00,2336,729912,369073,157.9935787671233
2024-01-06T00:00:00+08:00,2336,730350,349086,149.4375
2024-01-06T01:00:00+08:00,2336,729882,344259,147.37114726027397
2024-01-06T02:00:00+08:00,2336,729855,340705,145.84974315068493
2024-01-06T03:00:00+08:00,2336,729916,338008,144.69520547945206
2024-01-06T04:00:00+08:00,2336,730350,338102,144.73544520547946
2024-01-06T05:00:00+08:00,2336,729882,340131,145.60402397260273
2024-01-06T06:00:00+08:00,2336,730350,352370,150.84332191780823
2024-01-06T07:00:00+08:00,2336,729895,373241,159.77782534246575
2024-01-06T08:00:00+08:00,2336,730317,397436,170.13527397260273
2024-01-06T09:00:00+08:00,2336,729882,413121,176.84974315068493
2024-01-06T10:00:00+08:00,2336,729882,427661,183.07405821917808
2024-01-06T11:00:00+08:00,2336,730350,434526,186.01284246575344
2024-01-06T12:00:00+08:00,2336,730359,433016,185.3664383561644
2024-01-06T13:00:00+08:00,2336,730317,431802,184.84674657534248
2024-01-06T14:00:00+08:00,2336,730317,429469,183.8480308219178
2024-01-06T15:00:00+08:00,2336,729882,427016,182.79794520547946
2024-01-06T16:00:00+08:00,2336,730350,424915,181.89854452054794
2024-01-06T17:00:00+08:00,2336,730350,424997,181.93364726027397
2024-01-06T19:00:00+08:00,2336,729849,411596,176.19691780821918
2024-01-06T20:00:00+08:00,2336,730350,400193,171.31549657534248
2024-01-06T21:00:00+08:00,2336,730350,388563,166.3369006849315
2024-01-06T22:00:00+08:00,2336,730392,371926,159.21489726027397
2024-01-07T00:00:00+08:00,2336,740199,361011,154.5423801369863
2024-01-07T01:00:00+08:00,2336,739700,354488,151.75
2024-01-07T02:00:00+08:00,2336,739727,350364,149.9845890410959
2024-01-07T03:00:00+08:00,2336,740383,348651,149.25128424657535
